         20310945 function calls (20131090 primitive calls) in 25.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.001    0.000    0.094    0.047 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/base.py:332(score)
        2    0.001    0.000    0.001    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
    45/11    0.001    0.000    0.002    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/sre_parse.py:475(_parse)
     4347    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.001    0.001    0.001    0.001 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/io/parsers.py:1896(__init__)
        2    0.001    0.000    0.001    0.000 {built-in method scipy.sparse._sparsetools.csr_has_canonical_format}
       20    0.001    0.000    0.031    0.002 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/missing.py:219(_isna_ndarraylike)
      482    0.001    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:83(find)
    40/33    0.001    0.000    0.005    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/indexes/base.py:277(__new__)
        3    0.001    0.000    0.204    0.068 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/io/formats/csvs.py:326(_save_chunk)
      923    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      669    0.001    0.000    0.003    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/base.py:231(is_dtype)
   202/49    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      572    0.001    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1886(_is_dtype_type)
      462    0.001    0.000    0.002    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1743(is_extension_array_dtype)
       12    0.000    0.000    0.004    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/numpy/lib/arraysetops.py:297(_unique1d)
       22    0.000    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/managers.py:216(_rebuild_blknos_and_blklocs)
        1    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
     1098    0.000    0.000    0.000    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/sre_parse.py:233(__next)
        1    0.000    0.000    0.003    0.003 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/tree/tree.py:819(predict_proba)
      199    0.000    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/numpy/core/_dtype.py:319(_name_get)
       12    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     2212    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
