         64870380 function calls (61106257 primitive calls) in 46.589 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14992    0.009    0.000    0.025    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/re.py:271(_compile)
    13913    0.009    0.000    0.064    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:1348(_realign_boundaries)
       58    0.009    0.000    0.030    0.001 <frozen importlib._bootstrap_external>:914(get_data)
        4    0.008    0.002    0.305    0.076 {pandas._libs.reduction.apply_frame_axis0}
     6891    0.008    0.000    0.010    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/data.py:139(split_resource_url)
     3051    0.007    0.000    0.125    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/generic.py:3265(_get_item_cache)
  409/391    0.007    0.000    0.030    0.000 {built-in method builtins.__build_class__}
    13913    0.007    0.000    0.071    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:1313(span_tokenize)
        5    0.007    0.001    0.235    0.047 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/managers.py:2020(concatenate_block_managers)
14390/13913    0.007    0.000    0.055    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:310(_pair_iter)
     6122    0.007    0.000    0.013    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/indexes/base.py:4262(__getitem__)
        1    0.006    0.006    0.222    0.222 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/io/sql.py:122(_wrap_result)
     6909    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
       46    0.006    0.000    0.007    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:1239(construct_1d_object_array_from_listlike)
     6889    0.006    0.000    0.384    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/__init__.py:146(<listcomp>)
       12    0.006    0.001    1.708    0.142 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/io/formats/csvs.py:326(_save_chunk)
     6889    0.006    0.000    0.077    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:1331(<listcomp>)
     6889    0.006    0.000    0.715    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/__init__.py:129(word_tokenize)
        3    0.006    0.002   27.623    9.208 /Users/seiryu8808/Desktop/UWinsc/Github/UnacquiredSites/src/modules/preprocessing/utils.py:82(find_intersections)
       61    0.006    0.000    0.143    0.002 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/missing.py:219(_isna_ndarraylike)
    29077    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
     6154    0.006    0.000    0.006    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
     6891    0.005    0.000    0.012    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/posixpath.py:64(isabs)
     6889    0.005    0.000    0.088    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:1273(tokenize)
     6889    0.005    0.000    0.082    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:1324(sentences_from_text)
     3050    0.005    0.000    0.057    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/managers.py:942(get)
     7178    0.005    0.000    0.006    0.000 {method 'format' of 'str' objects}
        1    0.005    0.005    0.005    0.005 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/io/parsers.py:1896(__init__)
     3050    0.005    0.000    0.052    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/frame.py:3444(_box_item_values)
    19854    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
    167/3    0.004    0.000    0.134    0.045 {built-in method builtins.exec}
     6889    0.004    0.000    0.004    0.000 {method 'finditer' of 're.Pattern' objects}
      755    0.004    0.000    0.120    0.000 /Users/seiryu8808/Desktop/UWinsc/Github/UnacquiredSites/src/modules/preprocessing/neotoma_loader.py:91(<lambda>)
     6132    0.004    0.000    0.010    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/indexes/base.py:2888(get_loc)
        1    0.004    0.004    0.006    0.006 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/indexes/base.py:4060(_try_convert_to_int_index)
     6891    0.004    0.000    0.017    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/re.py:180(search)
     3050    0.004    0.000    0.038    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/frame.py:3451(_box_col_values)
     6983    0.004    0.000    0.015    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/re.py:185(sub)
      755    0.003    0.000    0.718    0.001 /Users/seiryu8808/Desktop/UWinsc/Github/UnacquiredSites/src/modules/preprocessing/neotoma_loader.py:68(<listcomp>)
     1510    0.003    0.000    0.004    0.000 /Users/seiryu8808/Desktop/UWinsc/Github/UnacquiredSites/src/modules/preprocessing/neotoma_loader.py:43(<listcomp>)
     3146    0.003    0.000    0.004    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/indexes/base.py:4228(__contains__)
    13803    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
     1510    0.003    0.000    0.003    0.000 /Users/seiryu8808/Desktop/UWinsc/Github/UnacquiredSites/src/modules/preprocessing/neotoma_loader.py:44(<listcomp>)
        1    0.003    0.003    0.372    0.372 /Users/seiryu8808/Desktop/UWinsc/Github/UnacquiredSites/src/modules/preprocessing/utils.py:7(convert_words_to_string)
   116/49    0.003    0.000    0.006    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/sre_parse.py:475(_parse)
        1    0.002    0.002    0.008    0.008 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/io/json/_normalize.py:285(_recursive_extract)
     6106    0.002    0.000    0.003    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/common.py:150(cast_scalar_indexer)
        3    0.002    0.001    0.002    0.001 {built-in method _imp.create_dynamic}
  146/114    0.002    0.000    0.024    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/indexes/base.py:277(__new__)
        1    0.002    0.002    0.002    0.002 /Users/seiryu8808/opt/anaconda3/lib/python3.7/json/decoder.py:343(raw_decode)
     3130    0.002    0.000    0.147    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/missing.py:128(_isna_new)
     3116    0.002    0.000    0.022    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:267(make_block_same_class)
     3050    0.002    0.000    0.006    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/generic.py:3279(_set_as_cached)
        3    0.002    0.001    1.842    0.614 /Users/seiryu8808/Desktop/UWinsc/Github/UnacquiredSites/src/modules/preprocessing/utils.py:30(find_re)
     6906    0.002    0.000    0.004    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/posixpath.py:41(_get_sep)
      276    0.002    0.000    0.002    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sqlalchemy/sql/annotation.py:181(_new_annotation_type)
     6892    0.002    0.000    0.002    0.000 {method 'index' of 'str' objects}
        4    0.002    0.001    0.002    0.001 {method 'factorize' of 'pandas._libs.hashtable.Int64Factorizer' objects}
    13983    0.002    0.000    0.002    0.000 {built-in method posix.fspath}
        2    0.002    0.001    0.004    0.002 {pandas._libs.join.inner_join}
7214/6900    0.002    0.000    0.046    0.000 {built-in method builtins.next}
       25    0.002    0.000    0.002    0.000 {pandas._libs.algos.take_1d_int64_int64}
     6889    0.002    0.000    0.003    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:279(period_context_re)
     3050    0.002    0.000    0.002    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:369(iget)
     1635    0.002    0.000    0.003    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/sre_parse.py:1036(expand_template)
     9299    0.002    0.000    0.002    0.000 {pandas._libs.lib.is_scalar}
     7522    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      755    0.002    0.000    0.062    0.000 /Users/seiryu8808/Desktop/UWinsc/Github/UnacquiredSites/src/modules/preprocessing/neotoma_loader.py:92(<lambda>)
        2    0.002    0.001    0.002    0.001 {method 'close' of '_io.TextIOWrapper' objects}
       66    0.002    0.000    0.002    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/sre_compile.py:276(_optimize_charset)
       19    0.002    0.000    0.002    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/concat.py:130(needs_filling)
       30    0.002    0.000    0.057    0.002 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/frame.py:3458(__setitem__)
      755    0.002    0.000    0.052    0.000 /Users/seiryu8808/Desktop/UWinsc/Github/UnacquiredSites/src/modules/preprocessing/neotoma_loader.py:94(<lambda>)
      755    0.002    0.000    0.054    0.000 /Users/seiryu8808/Desktop/UWinsc/Github/UnacquiredSites/src/modules/preprocessing/neotoma_loader.py:93(<lambda>)
