         20310937 function calls (20131082 primitive calls) in 26.276 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.003    0.000    0.003    0.000 {method 'sort' of 'numpy.ndarray' objects}
    18000    0.003    0.000    0.003    0.000 {method 'islower' of 'str' objects}
        1    0.003    0.003   25.834   25.834 src/modules/modelling/model.py:93(prepare_data)
        4    0.002    0.001    0.002    0.001 {pandas._libs.algos.take_2d_axis0_object_object}
        2    0.002    0.001    0.002    0.001 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.001    0.001    0.001    0.001 {method 'cumsum' of 'numpy.ndarray' objects}
      181    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
       57    0.001    0.000    0.002    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/generic.py:5181(__setattr__)
        3    0.001    0.000    0.001    0.000 {built-in method scipy.sparse._sparsetools.csr_has_sorted_indices}
        2    0.001    0.001    0.001    0.001 {pandas._libs.algos.take_2d_axis1_int64_int64}
     2838    0.001    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/generic.py:7(_check)
        1    0.001    0.001    0.001    0.001 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/utils/validation.py:763(check_random_state)
      462    0.001    0.000    0.002    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1743(is_extension_array_dtype)
      923    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     4347    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        2    0.001    0.000    0.147    0.073 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/base.py:332(score)
        8    0.001    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/scipy/sparse/compressed.py:138(check_format)
      669    0.001    0.000    0.003    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/base.py:231(is_dtype)
        3    0.001    0.000    0.199    0.066 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/io/formats/csvs.py:326(_save_chunk)
    45/11    0.001    0.000    0.002    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/sre_parse.py:475(_parse)
       20    0.001    0.000    0.022    0.001 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/missing.py:219(_isna_ndarraylike)
      482    0.001    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:83(find)
    40/33    0.001    0.000    0.004    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/indexes/base.py:277(__new__)
      572    0.001    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1886(_is_dtype_type)
       18    0.001    0.000    0.033    0.002 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/construction.py:630(sanitize_array)
       12    0.001    0.000    0.004    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/numpy/lib/arraysetops.py:297(_unique1d)
   202/49    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      199    0.000    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/numpy/core/_dtype.py:319(_name_get)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
        5    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       22    0.000    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/managers.py:216(_rebuild_blknos_and_blklocs)
        2    0.000    0.000    0.000    0.000 {built-in method scipy.sparse._sparsetools.csr_has_canonical_format}
       12    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      205    0.000    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/numpy/core/numerictypes.py:365(issubdtype)
     1098    0.000    0.000    0.000    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/sre_parse.py:233(__next)
        2    0.000    0.000    0.000    0.000 {built-in method numpy.frombuffer}
     2212    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        3    0.000    0.000    0.000    0.000 {built-in method io.open}
      410    0.000    0.000    0.000    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/numpy/core/numerictypes.py:293(issubclass_)
        3    0.000    0.000    0.000    0.000 {method 'argmax' of 'numpy.ndarray' objects}
     69/9    0.000    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/sre_compile.py:71(_compile)
       19    0.000    0.000    0.026    0.001 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/algorithms.py:1608(take_nd)
       24    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       41    0.000    0.000    0.002    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:3195(get_block_type)
